Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

            485  1DC 0009F9A0 NtQueryInformationJobObject
            486  1DD 0009F9C0 NtQueryInformationPort
            487  1DE 0009D370 NtQueryInformationProcess
            488  1DF 0009F9E0 NtQueryInformationResourceManager
            489  1E0 0009D4F0 NtQueryInformationThread
            490  1E1 0009D470 NtQueryInformationToken
            491  1E2 0009FA00 NtQueryInformationTransaction
            492  1E3 0009FA20 NtQueryInformationTransactionManager
            493  1E4 0009FA40 NtQueryInformationWorkerFactory
            494  1E5 0009FA60 NtQueryInstallUILanguage
            495  1E6 0009FA80 NtQueryIntervalProfile
            496  1E7 0009FAA0 NtQueryIoCompletion
            497  1E8 0009D310 NtQueryKey
            498  1E9 0009FAC0 NtQueryLicenseValue
            499  1EA 0009FAE0 NtQueryMultipleValueKey
            500  1EB 0009FB00 NtQueryMutant
            501  1EC 0009D250 NtQueryObject
            502  1ED 0009FB20 NtQueryOpenSubKeys
            503  1EE 0009FB40 NtQueryOpenSubKeysEx
            504  1EF 0009D670 NtQueryPerformanceCounter
            505  1F0 0009FB60 NtQueryPortInformationProcess
            506  1F1 0009FB80 NtQueryQuotaInformationFile
            507  1F2 0009DA70 NtQuerySection
            508  1F3 0009FBA0 NtQuerySecurityAttributesToken
            509  1F4 0009FBC0 NtQuerySecurityObject
            510  1F5 0009FBE0 NtQuerySecurityPolicy
            511  1F6 0009FC00 NtQuerySemaphore
            512  1F7 0009FC20 NtQuerySymbolicLinkObject
            513  1F8 0009FC40 NtQuerySystemEnvironmentValue
            514  1F9 0009FC60 NtQuerySystemEnvironmentValueEx
            515  1FA 0009D710 NtQuerySystemInformation
            516  1FB 0009FC80 NtQuerySystemInformationEx
            517  1FC 0009DB90 NtQuerySystemTime
            518  1FD 0009D750 NtQueryTimer
            519  1FE 0009FCA0 NtQueryTimerResolution
            520  1FF 0009D330 NtQueryValueKey
            521  200 0009D4B0 NtQueryVirtualMemory
            522  201 0009D970 NtQueryVolumeInformationFile
            523  202 0009FCC0 NtQueryWnfStateData
            524  203 0009FCE0 NtQueryWnfStateNameInformation
            525  204 0009D8F0 NtQueueApcThread
            526  205 0009FD00 NtQueueApcThreadEx
            527  206 0009FD20 NtRaiseException
            528  207 0009FD40 NtRaiseHardError
            529  208 0009D110 NtReadFile
            530  209 0009D610 NtReadFileScatter
            531  20A 0009FD60 NtReadOnlyEnlistment
            532  20B 0009DAD0 NtReadRequestData
            533  20C 0009D830 NtReadVirtualMemory
            534  20D 0009FD80 NtRecoverEnlistment
            535  20E 0009FDA0 NtRecoverResourceManager
            536  20F 0009FDC0 NtRecoverTransactionManager
            537  210 0009FDE0 NtRegisterProtocolAddressInformation
            538  211 0009FE00 NtRegisterThreadTerminatePort
            539  212 0009FE20 NtReleaseKeyedEvent
            540  213 0009D450 NtReleaseMutant
            541  214 0009D190 NtReleaseSemaphore
            542  215 0009FE40 NtReleaseWorkerFactoryWorker
            543  216 0009D170 NtRemoveIoCompletion
            544  217 0009FE60 NtRemoveIoCompletionEx
